[2025-09-30T21:17:20] visuals.py | Saved histograms for math/reading/writing
[2025-09-30T21:17:20] visuals.py | Saved boxplot of total_score by gender
[2025-09-30T21:17:21] visuals.py | Saved bar chart of performance categories
[2025-09-30T21:19:17] descriptive_stats.py | seed=42 
[2025-09-30T21:19:54] descriptive_stats.py | seed=42 
[2025-09-30T21:20:26] descriptive_stats.py | seed=42 
[2025-09-30T21:21:13] descriptive_stats.py | seed=42 
[2025-09-30T21:21:46] descriptive_stats.py | seed=42 
[2025-09-30T21:22:36] uncertainity_bootstrap.py | seed=42 
[2025-09-30T21:23:37] sensitivity_analysis.py | seed=42 
[2025-09-30T21:23:45] uncertainity_bootstrap.py | seed=42 
[2025-09-30T21:24:16] sanity_checks.py | seed=42 
[2025-09-30T21:24:42] bias_fairness.py | seed=42 
